Year,Month,Title,URL
2018,1,"Berpotensi Diakusisi BCA, Saham Bank-bank Ini Menguat",https://www.cnbcindonesia.com/market/20180130120035-17-2902/berpotensi-diakusisi-bca-saham-bank-bank-ini-menguat
2018,1,IHSG Ditutup Menguat pada Perdagangan Awal Pekan,https://www.cnbcindonesia.com/market/20180129163729-17-2853/ihsg-ditutup-menguat-pada-perdagangan-awal-pekan
2018,1,Ini Bank-Bank Kecil yang Berpotensi Dibeli BCA,https://www.cnbcindonesia.com/market/20180127104943-17-2676/ini-bank-bank-kecil-yang-berpotensi-dibeli-bca
2018,1,"BCA: Dari ""Tim Sirkus"" Jadi Bank Swasta Terbesar Nasional",https://www.cnbcindonesia.com/entrepreneur/20180126175936-25-2655/bca-dari-tim-sirkus-jadi-bank-swasta-terbesar-nasional
2018,1,Pertumbuhan Kredit BCA Pada 2017 Capai 12%,https://www.cnbcindonesia.com/market/20180126171408-17-2643/pertumbuhan-kredit-bca-pada-2017-capai-12
2018,2,Bursa Saham Domestik Akhirnya Ditutup Melemah Ikut Bursa Asia,https://www.cnbcindonesia.com/market/20180228163324-17-5805/bursa-saham-domestik-akhirnya-ditutup-melemah-ikut-bursa-asia
2018,2,"Investor Asing Lepas Saham BCA Rp 283,92 M",https://www.cnbcindonesia.com/market/20180228162319-17-5802/investor-asing-lepas-saham-bca-rp-28392-m
2018,2,"Sektor Saham yang Perlu Dicermati, Terkait Pernyataan The Fed",https://www.cnbcindonesia.com/market/20180228152028-17-5790/sektor-saham-yang-perlu-dicermati-terkait-pernyataan-the-fed
2018,2,Rupiah Sepertinya Bakal Bergejolak Sampai Setahun,https://www.cnbcindonesia.com/market/20180228123327-17-5744/rupiah-sepertinya-bakal-bergejolak-sampai-setahun
2018,2,5 Emiten dengan Kenaikan Kapitalisasi Pasar di Atas Rp 15 T,https://www.cnbcindonesia.com/market/20180228115559-17-5731/5-emiten-dengan-kenaikan-kapitalisasi-pasar-di-atas-rp-15-t
2018,3,"Investor Lepas Saham Big Cap, Sepekan Ini IHSG Koreksi 1,16%",https://www.cnbcindonesia.com/market/20180330190213-17-9163/investor-lepas-saham-big-cap-sepekan-ini-ihsg-koreksi-116
2018,3,"Antara Investor, Perry Warjiyo dan Sentimen Negatif",https://www.cnbcindonesia.com/market/20180330164525-17-9150/antara-investor-perry-warjiyo-dan-sentimen-negatif
2018,3,Sentimen Eksternal dan Internal Tekan IHSG Sesi I,https://www.cnbcindonesia.com/market/20180329125856-17-9037/sentimen-eksternal-dan-internal-tekan-ihsg-sesi-i
2018,3,"Takut Marjin Dipangkas, Saham BMRI, BBCA, dan BBNI Dilepas",https://www.cnbcindonesia.com/market/20180329105818-17-9001/takut-marjin-dipangkas-saham-bmri-bbca-dan-bbni-dilepas
2018,3,Saham BRI Paling Banyak Dibeli Investor Asing Pagi Ini,https://www.cnbcindonesia.com/market/20180329094315-17-8987/saham-bri-paling-banyak-dibeli-investor-asing-pagi-ini
2018,4,"Realisasi Investasi Memuaskan, IHSG Menguat 1,27%",https://www.cnbcindonesia.com/market/20180430161907-17-13065/realisasi-investasi-memuaskan-ihsg-menguat-127
2018,4,"Saham Big Cap Naik, Antarkan IHSG Seirama dengan Bursa Asia",https://www.cnbcindonesia.com/market/20180430122131-17-13000/saham-big-cap-naik-antarkan-ihsg-seirama-dengan-bursa-asia
2018,4,Investor Asing Borong Saham BUMN,https://www.cnbcindonesia.com/market/20180430103004-17-12974/investor-asing-borong-saham-bumn
2018,4,"ASII, UNVR, BBCA Laporkan Kinerja, TLKM Rombak Direksi",https://www.cnbcindonesia.com/market/20180430071715-17-12956/asii-unvr-bbca-laporkan-kinerja-tlkm-rombak-direksi
2018,4,Arah IHSG Masih akan Ditentukan Nilai Tukar Rupiah,https://www.cnbcindonesia.com/market/20180429173412-17-12939/arah-ihsg-masih-akan-ditentukan-nilai-tukar-rupiah
2018,5,"Leo Chandra, Columbia dan Lilitan Utang SNP Finance",https://www.cnbcindonesia.com/news/20180531114910-4-17302/leo-chandra-columbia-dan-lilitan-utang-snp-finance
2018,5,"Selain Bank Mandiri, Utang Grup Colombia Juga Macet di BCA",https://www.cnbcindonesia.com/market/20180531082050-17-17268/selain-bank-mandiri-utang-grup-colombia-juga-macet-di-bca
2018,5,"Kenaikan Suku Bunga Acuan Direspon Negatif, IHSG Jatuh 0,97%",https://www.cnbcindonesia.com/market/20180530161834-17-17205/kenaikan-suku-bunga-acuan-direspon-negatif-ihsg-jatuh-097
2018,5,Bankir Nantikan Hasil RDG Insidentil BI,https://www.cnbcindonesia.com/market/20180530080837-17-17072/bankir-nantikan-hasil-rdg-insidentil-bi
2018,5,Kisah Benny Purnomo yang Mundur dari Posisi Dirut Bank MNC,https://www.cnbcindonesia.com/market/20180530074612-17-17069/kisah-benny-purnomo-yang-mundur-dari-posisi-dirut-bank-mnc
2018,6,"Suku Bunga Acuan Naik 50 Bps, IHSG Melesat 2,33%",https://www.cnbcindonesia.com/market/20180629162702-17-21122/suku-bunga-acuan-naik-50-bps-ihsg-melesat-233
2018,6,Moody's Tegaskan Rating Sembilan Bank di Indonesia,https://www.cnbcindonesia.com/market/20180628190904-17-20972/moodys-tegaskan-rating-sembilan-bank-di-indonesia
2018,6,"Dolar AS Sentuh Rp 14.385, IHSG Anjlok 2,08%",https://www.cnbcindonesia.com/market/20180628163321-17-20938/dolar-as-sentuh-rp-14385-ihsg-anjlok-208
2018,6,"Ekspektasi Suku Bunga Acuan Naik, IHSG Anjlok 1,64%",https://www.cnbcindonesia.com/market/20180628122622-17-20865/ekspektasi-suku-bunga-acuan-naik-ihsg-anjlok-164
2018,6,Ini 5 Saham Paling Aktif Hari ini,https://www.cnbcindonesia.com/market/20180628101449-17-20834/ini-5-saham-paling-aktif-hari-ini
2018,7,"DMO Dicabut, IHSG Menguat Sendirian di Asia",https://www.cnbcindonesia.com/market/20180730154710-17-26072/dmo-dicabut-ihsg-menguat-sendirian-di-asia
2018,7,"BEI Rilis Daftar LQ-45 Terbaru, RUPS AISA Berlangsung Ricuh",https://www.cnbcindonesia.com/market/20180730074916-17-25954/bei-rilis-daftar-lq-45-terbaru-rups-aisa-berlangsung-ricuh
2018,7,"IHSG Naik 1,9% dalam Sepekan, Ini 5 Saham Teraktif",https://www.cnbcindonesia.com/market/20180728201438-17-25887/ihsg-naik-19-dalam-sepekan-ini-5-saham-teraktif
2018,7,"Dimotori Saham Astra, IHSG Menguat 0,72%",https://www.cnbcindonesia.com/market/20180727162134-17-25778/dimotori-saham-astra-ihsg-menguat-072
2018,7,"Rupiah Tipiskan Kekalahan, IHSG Menguat 0,3%",https://www.cnbcindonesia.com/market/20180727115346-17-25697/rupiah-tipiskan-kekalahan-ihsg-menguat-03
2018,8,"Asing Mulai Ambil Untung, Saham PTBA Turun 2,64%",https://www.cnbcindonesia.com/market/20180831172143-17-31259/asing-mulai-ambil-untung-saham-ptba-turun-264
2018,8,"Rupiah Terparah Sejak Krismon, IHSG Berakhir di Zona Merah",https://www.cnbcindonesia.com/market/20180831155621-17-31243/rupiah-terparah-sejak-krismon-ihsg-berakhir-di-zona-merah
2018,8,"Rupiah Terparah Sejak Krismon, IHSG Terburuk di Asia",https://www.cnbcindonesia.com/market/20180831120022-17-31160/rupiah-terparah-sejak-krismon-ihsg-terburuk-di-asia
2018,8,"Rupiah Tembus Rp 14.700/US$, Saham Bank Diobral Investor",https://www.cnbcindonesia.com/market/20180831111816-17-31150/rupiah-tembus-rp-14700-us--saham-bank-diobral-investor
2018,8,"Turki dan Argentina Krisis, Simak Rekomendasi Saham Ini",https://www.cnbcindonesia.com/market/20180831082209-17-31115/turki-dan-argentina-krisis-simak-rekomendasi-saham-ini
2018,9,"Sudah Banyak Jual, Asing Masuk Lagi Rp 1,6 T ke Pasar Saham",https://www.cnbcindonesia.com/market/20180930095927-17-35379/sudah-banyak-jual-asing-masuk-lagi-rp-16-t-ke-pasar-saham
2018,9,"Investor Asing Masuk Rp 886 M, IHSG Dekati Level 6.000",https://www.cnbcindonesia.com/market/20180928162119-17-35247/investor-asing-masuk-rp-886-m-ihsg-dekati-level-6000
2018,9,"Investor Asing Masuk Rp 272 M, IHSG Menguat 0,33%",https://www.cnbcindonesia.com/market/20180928115607-17-35185/investor-asing-masuk-rp-272-m-ihsg-menguat-033
2018,9,"BI Bertahan Hawkish, Simak Rekomendasi Saham Hari Ini",https://www.cnbcindonesia.com/market/20180928084227-17-35136/bi-bertahan-hawkish-simak-rekomendasi-saham-hari-ini
2018,9,"BI Naikkan Suku Bunga Acuan, Saham Perbankan Bergerak Turun",https://www.cnbcindonesia.com/market/20180927150357-17-35046/bi-naikkan-suku-bunga-acuan-saham-perbankan-bergerak-turun
2018,10,"Bursa Saham Asia Melesat, IHSG Berhasil Ditutup Menguat",https://www.cnbcindonesia.com/market/20181031162823-17-39972/bursa-saham-asia-melesat-ihsg-berhasil-ditutup-menguat
2018,10,"Lebih Efisien, BRI Makin Menguntungkan",https://www.cnbcindonesia.com/market/20181031125258-17-39930/lebih-efisien-bri-makin-menguntungkan
2018,10,"Masih Pagi, Investor Asing Sudah Koleksi Saham BBCA Rp 367 M",https://www.cnbcindonesia.com/market/20181031095431-17-39852/masih-pagi-investor-asing-sudah-koleksi-saham-bbca-rp-367-m
2018,10,"Penguatan IHSG Berpotensi Lanjut, Amati Saham-saham Ini",https://www.cnbcindonesia.com/market/20181031081640-17-39833/penguatan-ihsg-berpotensi-lanjut-amati-saham-saham-ini
