Year,Month,Total_Assets,Total_Liabilities,Total_Equity,Close,Asset_Diff,Liability_Diff,Equity_Diff,Close_Diff,MA3,RSI,y
2015,6,545743243.0,467989996.0,77753247.0,2700.0,0.0,0.0,0.0,130.0,2828.3333333333335,32.5,0
2015,7,564430586.0,483156637.0,81273949.0,2620.0,0.0,0.0,0.0,-125.0,2740.0,24.76190476190476,0
2015,8,569985436.0,487156312.0,82829124.0,2580.0,18687343.0,15166641.0,3520702.0,-80.0,2715.0,38.80597014925374,0
2015,9,573166358.0,489417503.0,83748855.0,2455.0,5554850.0,3999675.0,1555175.0,-40.0,2633.3333333333335,0.0,1
2015,10,567038734.0,481288565.0,85750169.0,2580.0,3180922.0,2261191.0,919731.0,-125.0,2551.6666666666665,0.0,0
2015,11,574353020.0,487015856.0,87337164.0,2475.0,-6127624.0,-8128938.0,2001314.0,125.0,2538.3333333333335,43.10344827586207,1
2015,12,582540176.0,495770501.0,86769675.0,2660.0,7314286.0,5727291.0,1586995.0,-105.0,2503.3333333333335,35.21126760563381,0
2016,1,583816752.0,495221056.0,88595696.0,2620.0,8187156.0,8754645.0,-567489.0,185.0,2571.6666666666665,74.6987951807229,1
2016,2,592077681.0,501934871.0,90142810.0,2695.0,1276576.0,-549445.0,1826021.0,-40.0,2585.0,56.060606060606055,0
2016,3,590832305.0,492860684.0,97971621.0,2660.0,8260929.0,6713815.0,1547114.0,75.0,2658.3333333333335,86.66666666666667,0
2016,4,592088054.0,495037693.0,97050361.0,2610.0,-1245376.0,-9074187.0,7828811.0,-35.0,2658.3333333333335,50.0,0
2016,5,605745418.0,506930993.0,98814425.0,2600.0,1255749.0,2177009.0,-921260.0,-50.0,2655.0,46.875,1
2016,6,612971304.0,512526766.0,100444538.0,2665.0,13657364.0,11893300.0,1764064.0,-10.0,2623.3333333333335,0.0,1
2016,7,622284056.0,519210305.0,103073751.0,2890.0,7225886.0,5595773.0,1630113.0,65.0,2625.0,52.0,1
2016,8,634719255.0,529740237.0,104979018.0,3010.0,9312752.0,6683539.0,2629213.0,225.0,2718.3333333333335,96.66666666666667,1
2016,9,646704822.0,540542055.0,106162767.0,3140.0,12435199.0,10529932.0,1905267.0,120.0,2855.0,100.0,0
2016,10,642515525.0,534488743.0,108026782.0,3105.0,11985567.0,10801818.0,1183749.0,130.0,3013.3333333333335,100.0,0
2016,11,650458961.0,541289190.0,109169771.0,2860.0,-4189297.0,-6053312.0,1864015.0,-35.0,3085.0,87.71929824561403,1
2016,12,662620439.0,553551721.0,109068718.0,3100.0,7943436.0,6800447.0,1142989.0,-245.0,3035.0,31.707317073170742,0
2017,1,663805342.0,552545033.0,111260309.0,3060.0,12161478.0,12262531.0,-101053.0,240.0,3021.6666666666665,46.15384615384615,1
2017,2,672313647.0,559631892.0,112681755.0,3090.0,1184903.0,-1006688.0,2191591.0,-40.0,3006.6666666666665,45.714285714285715,1
2017,3,674303286.0,559840468.0,114462818.0,3310.0,8508305.0,7086859.0,1421446.0,30.0,3083.3333333333335,87.09677419354838,1
2017,4,685387425.0,572240410.0,113147015.0,3550.0,1989639.0,208576.0,1781063.0,220.0,3153.3333333333335,86.20689655172414,0
2017,5,693411658.0,578391918.0,115019740.0,3430.0,11084139.0,12399942.0,-1315803.0,240.0,3316.6666666666665,100.0,1
2017,6,723875801.0,607031286.0,116844515.0,3630.0,8024233.0,6151508.0,1872725.0,-120.0,3430.0,79.3103448275862,1
2017,7,720392993.0,601265795.0,119127198.0,3740.0,30464143.0,28639368.0,1824775.0,200.0,3536.6666666666665,78.57142857142857,1
2017,8,724395592.0,602977797.0,121417795.0,3790.0,-3482808.0,-5765491.0,2282683.0,110.0,3600.0,72.09302325581395,1
2017,9,725518013.0,602223850.0,123294163.0,4060.0,4002599.0,1712002.0,2290597.0,50.0,3720.0,100.0,1
2017,10,735750538.0,610502504.0,125248034.0,4180.0,1122421.0,-753947.0,1876368.0,270.0,3863.3333333333335,100.0,0
2017,11,729300637.0,601684381.0,127616256.0,4070.0,10232525.0,8278654.0,1953871.0,120.0,4010.0,100.0,1
2017,12,734784203.0,608099003.0,126685200.0,4380.0,-6449901.0,-8818123.0,2368222.0,-110.0,4103.333333333333,78.0,1
2018,1,739642864.0,610970569.0,128672295.0,4545.0,5483566.0,6414622.0,-931056.0,310.0,4210.0,79.62962962962963,1
2018,2,745427454.0,615475071.0,129952383.0,4635.0,4858661.0,2871566.0,1987095.0,165.0,4331.666666666667,81.19658119658119,1
2018,3,745043491.0,613598914.0,131444577.0,4660.0,5784590.0,4504502.0,1280088.0,90.0,4520.0,100.0,0
2018,4,751651321.0,623206119.0,128445202.0,4420.0,-383963.0,-1876157.0,1492194.0,25.0,4613.333333333333,100.0,1
2018,5,765387700.0,635401116.0,129986584.0,4540.0,6607830.0,9607205.0,-2999375.0,-240.0,4571.666666666667,32.3943661971831,0
2018,6,776590042.0,644840182.0,131749860.0,4295.0,13736379.0,12194997.0,1541382.0,120.0,4540.0,37.66233766233766,1
2018,7,784192878.0,649588619.0,134604259.0,4655.0,11202342.0,9439066.0,1763276.0,-245.0,4418.333333333333,19.83471074380165,1
2018,8,783129376.0,646219457.0,136909919.0,4960.0,7602836.0,4748437.0,2854399.0,360.0,4496.666666666667,66.20689655172413,0
2018,9,783814134.0,645456872.0,138357262.0,4830.0,-1063502.0,-3369162.0,2305660.0,305.0,4636.666666666667,73.07692307692307,0
2018,10,793381963.0,652898876.0,140483087.0,4730.0,684758.0,-762585.0,1447343.0,-130.0,4815.0,83.64779874213836,1
2018,11,788059971.0,644506463.0,143553508.0,5210.0,9567829.0,7442004.0,2125825.0,-100.0,4840.0,57.00934579439252,0
2018,12,808636008.0,662656546.0,145979462.0,5200.0,-5321992.0,-8392413.0,3070421.0,480.0,4923.333333333333,67.6056338028169,1
2019,2,817853592.0,667488627.0,150364965.0,5515.0,20576037.0,18150083.0,2425954.0,-10.0,5046.666666666667,81.35593220338984,0
2019,3,814559087.0,662003462.0,152555625.0,5510.0,9217584.0,4832081.0,4385503.0,315.0,5308.333333333333,98.75776397515529,1
2019,4,823403475.0,675322367.0,148081108.0,5750.0,-3294505.0,-5485165.0,2190660.0,-5.0,5408.333333333333,95.45454545454545,1
2019,5,849700956.0,699511507.0,150189449.0,5820.0,8844388.0,13318905.0,-4474517.0,240.0,5591.666666666667,99.10714285714286,1
2019,6,853642798.0,700334729.0,153308069.0,5995.0,26297481.0,24189140.0,2108341.0,70.0,5693.333333333333,98.41269841269842,1
2019,7,867008857.0,710665445.0,156343412.0,6190.0,3941842.0,823222.0,3118620.0,175.0,5855.0,100.0,0
2019,8,866663285.0,707585093.0,159078192.0,6100.0,13366059.0,10330716.0,3035343.0,195.0,6001.666666666667,100.0,0
2019,9,875677023.0,714323797.0,161353226.0,6070.0,-345572.0,-3080352.0,2734780.0,-90.0,6095.0,80.43478260869566,1
2019,10,886571333.0,722397737.0,164173596.0,6290.0,9013738.0,6738704.0,2275034.0,-30.0,6120.0,61.904761904761905,0
2019,11,885157294.0,718362497.0,166794797.0,6280.0,10894310.0,8073940.0,2820370.0,220.0,6153.333333333333,64.70588235294117,1
