Year,Month,Total_Assets,Total_Liabilities,Total_Equity,Close
2016,5,605745418.0,506930993.0,98814425.0,2600.0
2016,7,622284056.0,519210305.0,103073751.0,2890.0
2016,8,634719255.0,529740237.0,104979018.0,3010.0
2016,9,646704822.0,540542055.0,106162767.0,3140.0
2016,10,642515525.0,534488743.0,108026782.0,3105.0
2016,11,650458961.0,541289190.0,109169771.0,2860.0
2017,2,672313647.0,559631892.0,112681755.0,3090.0
2016,12,662620439.0,553551721.0,109068718.0,3100.0
2017,3,674303286.0,559840468.0,114462818.0,3310.0
2017,4,685387425.0,572240410.0,113147015.0,3550.0
2017,5,693411658.0,578391918.0,115019740.0,3430.0
2017,6,723875801.0,607031286.0,116844515.0,3630.0
2017,7,720392993.0,601265795.0,119127198.0,3740.0
2017,8,724395592.0,602977797.0,121417795.0,3790.0
2017,9,725518013.0,602223850.0,123294163.0,4060.0
2017,10,735750538.0,610502504.0,125248034.0,4180.0
2017,11,729300637.0,601684381.0,127616256.0,4070.0
2017,12,734784203.0,608099003.0,126685200.0,4380.0
2018,1,739642864.0,610970569.0,128672295.0,4545.0
2018,2,745427454.0,615475071.0,129952383.0,4635.0
2018,4,751651321.0,623206119.0,128445202.0,4420.0
2018,6,776590042.0,644840182.0,131749860.0,4295.0
2018,7,784192878.0,649588619.0,134604259.0,4655.0
2018,8,783129376.0,646219457.0,136909919.0,4960.0
2018,9,783814134.0,645456872.0,138357262.0,4830.0
2018,10,793381963.0,652898876.0,140483087.0,4730.0
2018,11,788059971.0,644506463.0,143553508.0,5210.0
2018,12,808636008.0,662656546.0,145979462.0,5200.0
2019,2,817853592.0,667488627.0,150364965.0,5515.0
2019,3,814559087.0,662003462.0,152555625.0,5510.0
2019,4,823403475.0,675322367.0,148081108.0,5750.0
2019,5,849700956.0,699511507.0,150189449.0,5820.0
2019,7,867008857.0,710665445.0,156343412.0,6190.0
2019,8,866663285.0,707585093.0,159078192.0,6100.0
2019,10,886571333.0,722397737.0,164173596.0,6290.0
2019,11,885157294.0,718362497.0,166794797.0,6280.0
2019,12,899009585.0,731975792.0,167033793.0,6685.0
2020,1,896809336.0,730629620.0,166179716.0,6480.0
2020,2,916603266.0,748773410.0,167829856.0,6290.0
